1,-1,731.11,184.15,119.90,214.14,0.6258,-1,-1,-1
1,-1,582.84,0.43,74.69,170.44,0.4494,-1,-1,-1
2,-1,747.92,189.17,107.01,199.59,0.5058,-1,-1,-1
2,-1,581.48,1.37,77.22,167.51,0.4497,-1,-1,-1
3,-1,581.39,1.26,77.50,168.11,0.4721,-1,-1,-1
3,-1,751.26,202.23,84.56,187.53,0.4659,-1,-1,-1
4,-1,581.12,1.07,78.24,168.79,0.5058,-1,-1,-1
4,-1,748.80,185.35,106.87,200.62,0.4862,-1,-1,-1
5,-1,759.86,182.70,90.63,201.08,0.5106,-1,-1,-1
5,-1,581.07,1.07,78.28,168.57,0.5058,-1,-1,-1
6,-1,774.86,184.32,76.30,200.39,0.5816,-1,-1,-1
6,-1,582.39,0.27,75.58,171.95,0.4871,-1,-1,-1
7,-1,580.94,1.03,78.26,168.77,0.5185,-1,-1,-1
7,-1,783.77,186.91,80.10,195.56,0.4894,-1,-1,-1
8,-1,581.21,1.04,78.03,168.78,0.4954,-1,-1,-1
9,-1,581.63,1.87,76.86,166.53,0.4967,-1,-1,-1
10,-1,581.36,1.86,77.20,166.50,0.5097,-1,-1,-1
11,-1,581.27,1.77,77.12,166.63,0.5401,-1,-1,-1
11,-1,807.06,205.77,59.90,176.45,0.4087,-1,-1,-1
12,-1,581.46,1.78,76.70,166.62,0.5299,-1,-1,-1
13,-1,581.56,1.75,76.71,166.51,0.5360,-1,-1,-1
14,-1,581.40,1.72,76.90,166.49,0.5595,-1,-1,-1
15,-1,581.46,1.76,76.77,166.40,0.5366,-1,-1,-1
16,-1,581.45,1.74,76.81,166.36,0.5428,-1,-1,-1
17,-1,581.67,1.79,76.34,166.44,0.5351,-1,-1,-1
18,-1,581.71,1.76,76.39,167.07,0.5842,-1,-1,-1
19,-1,581.60,1.75,76.48,167.13,0.5804,-1,-1,-1
20,-1,581.64,1.80,76.22,167.23,0.5767,-1,-1,-1
20,-1,869.32,195.57,97.84,203.70,0.4499,-1,-1,-1
21,-1,581.62,1.76,76.21,167.10,0.5781,-1,-1,-1
21,-1,877.96,197.74,91.66,205.48,0.3780,-1,-1,-1
22,-1,581.63,1.78,76.17,167.40,0.5554,-1,-1,-1
23,-1,581.59,1.80,76.21,167.35,0.5374,-1,-1,-1
24,-1,581.39,1.83,76.38,167.35,0.5401,-1,-1,-1
24,-1,895.87,196.15,93.89,214.15,0.3951,-1,-1,-1
25,-1,894.38,192.74,127.23,247.51,0.6262,-1,-1,-1
25,-1,581.34,1.91,76.47,167.23,0.5463,-1,-1,-1
26,-1,907.15,195.04,114.19,242.22,0.6465,-1,-1,-1
26,-1,581.53,1.92,76.22,166.83,0.5401,-1,-1,-1
27,-1,908.28,197.48,120.80,242.43,0.7462,-1,-1,-1
27,-1,581.41,1.95,76.47,166.99,0.5310,-1,-1,-1
28,-1,911.47,200.55,118.53,239.26,0.7232,-1,-1,-1
28,-1,581.42,1.96,76.42,166.92,0.5136,-1,-1,-1
29,-1,921.12,199.43,111.07,236.55,0.6768,-1,-1,-1
29,-1,581.54,1.94,76.21,167.01,0.5036,-1,-1,-1
30,-1,928.45,202.93,112.29,243.05,0.7178,-1,-1,-1
30,-1,581.49,1.87,76.39,167.01,0.5533,-1,-1,-1
31,-1,937.67,203.81,121.31,243.25,0.7177,-1,-1,-1
31,-1,581.43,1.84,76.50,167.04,0.5593,-1,-1,-1
32,-1,953.06,202.98,116.47,255.61,0.7289,-1,-1,-1
32,-1,581.37,1.79,76.44,167.27,0.5683,-1,-1,-1
33,-1,954.15,204.31,122.80,256.04,0.6852,-1,-1,-1
33,-1,581.33,1.78,76.40,167.26,0.5731,-1,-1,-1
34,-1,961.26,203.59,117.90,254.74,0.7929,-1,-1,-1
